variant,seeds,mAP50-95,mAP50,P,R,mAP_small,AP:maize,AP:bean,AP:ryegrass,AP:mustard,AP:matricaria,AP:lambsquarter,params(M),GFLOPs,FPS
B0,3,31.15+-0.34,49.23+-0.68,-,-,5.63+-1.13,56.08+-1.10,62.53+-0.55,5.86+-0.23,18.79+-0.81,9.24+-1.56,34.39+-0.52,9.42,-,38.8+-0.7
Cand+NMS,1,28.25+-0.00,42.21+-0.00,-,-,4.15+-0.00,59.37+-0.00,58.70+-0.00,3.85+-0.00,17.49+-0.00,5.77+-0.00,24.35+-0.00,-,-,-
GAT,3,27.41+-0.28,41.46+-0.43,-,-,4.74+-0.04,57.96+-0.17,57.84+-0.33,3.96+-0.11,16.78+-0.50,4.37+-0.91,23.59+-0.12,0.24,-,-
GCN,3,27.04+-0.38,40.51+-0.43,-,-,4.27+-0.56,57.98+-0.40,58.15+-0.21,3.71+-0.37,16.09+-0.62,3.02+-0.49,23.25+-0.43,0.24,-,-
GIN,3,26.65+-0.39,40.24+-0.95,-,-,4.74+-0.13,57.14+-0.52,57.51+-0.08,3.72+-0.25,15.47+-0.73,2.91+-1.55,23.13+-0.40,0.37,-,-
SAGE,3,26.90+-0.19,40.55+-0.52,-,-,4.51+-0.07,57.67+-0.37,58.22+-0.12,3.62+-0.35,15.98+-0.55,2.82+-0.98,23.14+-0.11,0.37,-,-
GAT->GAT,3,26.95+-0.61,41.02+-1.09,-,-,4.73+-0.44,57.07+-0.87,57.17+-0.54,3.82+-0.27,16.22+-0.58,4.04+-1.62,23.39+-0.24,0.37,-,-
GCN->GAT,3,26.86+-0.40,41.04+-1.22,-,-,3.90+-0.18,56.92+-0.64,57.02+-0.47,3.79+-0.36,16.30+-0.68,3.66+-1.51,23.45+-0.09,0.37,-,-
GIN->GAT,3,27.11+-0.18,41.03+-0.21,-,-,4.78+-0.12,57.44+-0.34,57.65+-0.30,4.16+-0.10,16.42+-0.46,3.67+-0.77,23.32+-0.32,0.50,-,-
SAGE->GAT,3,27.43+-0.08,41.67+-0.16,-,-,4.16+-0.74,57.42+-0.64,57.89+-0.22,3.99+-0.10,16.73+-0.77,5.26+-0.28,23.27+-0.08,0.50,-,-
