epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5571,1.95933,1.91169,1.32356,0.66741,0.33046,0.33691,0.19592,1.61645,1.31561,1.15906,0.000331111,0.000331111,0.000331111
2,89.4351,1.68929,1.28276,1.18247,0.65393,0.38473,0.40988,0.24197,1.54942,1.20076,1.14508,0.000664282,0.000664282,0.000664282
3,130.826,1.663,1.23228,1.16418,0.43844,0.43865,0.42134,0.25311,1.54613,1.17922,1.14637,0.000996803,0.000996803,0.000996803
4,172.592,1.63186,1.17157,1.15756,0.44655,0.49217,0.45131,0.26691,1.49686,1.12762,1.12488,0.000997803,0.000997803,0.000997803
5,214.455,1.63268,1.15281,1.14959,0.61058,0.42864,0.4441,0.27021,1.50315,1.13674,1.11267,0.000996097,0.000996097,0.000996097
6,256.989,1.62525,1.15521,1.14659,0.46974,0.46634,0.44697,0.27008,1.50269,1.13282,1.13099,0.000993906,0.000993906,0.000993906
7,299.063,1.58893,1.1259,1.14219,0.48442,0.49294,0.46236,0.28395,1.49018,1.10512,1.1173,0.000991232,0.000991232,0.000991232
8,341.653,1.58696,1.09666,1.13387,0.60446,0.47515,0.46635,0.28298,1.48577,1.10259,1.11932,0.000988079,0.000988079,0.000988079
9,384.134,1.56604,1.10564,1.13443,0.44059,0.50291,0.46102,0.28387,1.45726,1.11085,1.11055,0.000984449,0.000984449,0.000984449
10,432.613,1.57633,1.10726,1.13601,0.45274,0.51177,0.46866,0.29137,1.45849,1.07661,1.10964,0.000980345,0.000980345,0.000980345
11,479.029,1.54713,1.06556,1.12299,0.57728,0.44153,0.46793,0.2855,1.46273,1.06992,1.11122,0.000975773,0.000975773,0.000975773
12,529.053,1.56119,1.09012,1.13051,0.49834,0.48819,0.46522,0.28694,1.48105,1.0848,1.11589,0.000970736,0.000970736,0.000970736
13,579.193,1.55876,1.08627,1.12799,0.45753,0.52019,0.47241,0.29473,1.47916,1.08098,1.10763,0.000965239,0.000965239,0.000965239
14,624.968,1.547,1.05922,1.1218,0.47712,0.48879,0.46973,0.29425,1.45604,1.08637,1.10089,0.000959289,0.000959289,0.000959289
15,672.846,1.56101,1.06278,1.13131,0.47929,0.51876,0.45819,0.28518,1.47159,1.0912,1.10711,0.000952889,0.000952889,0.000952889
16,725.277,1.5335,1.05907,1.12143,0.52107,0.51406,0.47893,0.29734,1.46898,1.04819,1.11166,0.000946048,0.000946048,0.000946048
17,772.823,1.52151,1.04167,1.11289,0.48539,0.52319,0.47819,0.29143,1.46329,1.0682,1.10138,0.000938772,0.000938772,0.000938772
18,818.157,1.52432,1.0545,1.11725,0.47991,0.51515,0.47996,0.30615,1.42269,1.05781,1.09263,0.000931067,0.000931067,0.000931067
19,861.111,1.5185,1.04232,1.11959,0.49032,0.53549,0.48981,0.30783,1.45704,1.04339,1.10135,0.000922942,0.000922942,0.000922942
20,903.862,1.51369,1.04482,1.10669,0.49826,0.52229,0.49156,0.30671,1.46691,1.04136,1.10829,0.000914405,0.000914405,0.000914405
21,946.337,1.52283,1.05015,1.11243,0.66355,0.49518,0.4892,0.30771,1.42023,1.04432,1.09117,0.000905463,0.000905463,0.000905463
22,988.78,1.52636,1.03528,1.11055,0.52601,0.51777,0.49029,0.31183,1.42981,1.04223,1.09315,0.000896127,0.000896127,0.000896127
23,1089.29,1.5094,1.02756,1.09976,0.49082,0.50804,0.49218,0.31279,1.41715,1.0397,1.09506,0.000886404,0.000886404,0.000886404
24,1353.19,1.5027,1.02923,1.09619,0.51549,0.50668,0.48673,0.30644,1.43272,1.04972,1.0923,0.000876305,0.000876305,0.000876305
25,1501.48,1.51073,1.03561,1.10823,0.5,0.51595,0.49636,0.31521,1.43571,1.04565,1.09877,0.000865839,0.000865839,0.000865839
26,1520.42,1.49398,1.02081,1.09894,0.5037,0.51866,0.49948,0.31711,1.43702,1.05319,1.09155,0.000855018,0.000855018,0.000855018
